batch_id,daq,I3Photons_empty,I3Photons_nonempty,empty_frac,status,error,path
0,200.0,123.0,77.0,0.615,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_000.i3
1,200.0,136.0,64.0,0.68,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_001.i3
2,200.0,133.0,67.0,0.665,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_002.i3
3,200.0,142.0,58.0,0.71,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_003.i3
4,200.0,137.0,63.0,0.685,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_004.i3
5,200.0,140.0,60.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_005.i3
6,200.0,137.0,63.0,0.685,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_006.i3
7,200.0,138.0,62.0,0.69,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_007.i3
8,200.0,138.0,62.0,0.69,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_008.i3
9,200.0,140.0,60.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_009.i3
10,200.0,145.0,55.0,0.725,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_010.i3
11,200.0,141.0,59.0,0.705,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_011.i3
12,200.0,141.0,59.0,0.705,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_012.i3
13,200.0,144.0,56.0,0.72,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_013.i3
14,200.0,141.0,59.0,0.705,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_014.i3
15,200.0,137.0,63.0,0.685,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_015.i3
16,200.0,130.0,70.0,0.65,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_016.i3
17,200.0,128.0,72.0,0.64,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_017.i3
18,200.0,139.0,61.0,0.695,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_018.i3
19,110.0,77.0,33.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_019.i3
20,200.0,143.0,57.0,0.715,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_020.i3
21,200.0,136.0,64.0,0.68,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_021.i3
22,200.0,140.0,60.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_022.i3
23,200.0,140.0,60.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_023.i3
24,200.0,136.0,64.0,0.68,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_024.i3
25,200.0,138.0,62.0,0.69,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_025.i3
26,200.0,133.0,67.0,0.665,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_026.i3
27,200.0,140.0,60.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_027.i3
28,200.0,143.0,57.0,0.715,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_028.i3
29,200.0,128.0,72.0,0.64,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_029.i3
30,185.0,129.0,56.0,0.6972972972972973,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_030.i3
31,200.0,136.0,64.0,0.68,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_031.i3
32,200.0,143.0,57.0,0.715,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_032.i3
33,200.0,129.0,71.0,0.645,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_033.i3
34,200.0,144.0,56.0,0.72,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_034.i3
35,200.0,146.0,54.0,0.73,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_035.i3
36,200.0,137.0,63.0,0.685,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_036.i3
37,200.0,144.0,56.0,0.72,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_037.i3
38,,,,,FAIL,RuntimeError: input stream error,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_038.i3
39,200.0,144.0,56.0,0.72,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_039.i3
40,200.0,134.0,66.0,0.67,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_040.i3
41,200.0,138.0,62.0,0.69,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_041.i3
42,200.0,128.0,72.0,0.64,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_042.i3
43,200.0,140.0,60.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_043.i3
44,200.0,128.0,72.0,0.64,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_044.i3
45,200.0,139.0,61.0,0.695,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_045.i3
46,200.0,135.0,65.0,0.675,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_046.i3
47,200.0,143.0,57.0,0.715,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_047.i3
48,200.0,117.0,83.0,0.585,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_048.i3
49,200.0,132.0,68.0,0.66,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_049.i3
50,200.0,138.0,62.0,0.69,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_050.i3
51,200.0,149.0,51.0,0.745,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_051.i3
52,200.0,126.0,74.0,0.63,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_052.i3
53,200.0,137.0,63.0,0.685,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_053.i3
54,200.0,135.0,65.0,0.675,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_054.i3
55,200.0,139.0,61.0,0.695,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_055.i3
56,200.0,138.0,62.0,0.69,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_056.i3
57,200.0,140.0,60.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_057.i3
58,200.0,129.0,71.0,0.645,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_058.i3
59,200.0,152.0,48.0,0.76,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_059.i3
61,200.0,131.0,69.0,0.655,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_061.i3
62,200.0,131.0,69.0,0.655,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_062.i3
63,200.0,140.0,60.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_063.i3
64,200.0,140.0,60.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_064.i3
65,200.0,133.0,67.0,0.665,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_065.i3
66,200.0,147.0,53.0,0.735,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_066.i3
67,200.0,141.0,59.0,0.705,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_067.i3
68,200.0,139.0,61.0,0.695,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_068.i3
69,200.0,142.0,58.0,0.71,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_069.i3
70,200.0,129.0,71.0,0.645,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_070.i3
71,200.0,148.0,52.0,0.74,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_071.i3
72,200.0,141.0,59.0,0.705,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_072.i3
73,200.0,132.0,68.0,0.66,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_073.i3
74,200.0,152.0,48.0,0.76,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_074.i3
75,200.0,145.0,55.0,0.725,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_075.i3
76,200.0,142.0,58.0,0.71,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_076.i3
77,200.0,132.0,68.0,0.66,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_077.i3
78,200.0,149.0,51.0,0.745,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_078.i3
79,200.0,132.0,68.0,0.66,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_079.i3
80,200.0,135.0,65.0,0.675,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_080.i3
81,200.0,141.0,59.0,0.705,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_081.i3
82,200.0,149.0,51.0,0.745,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_082.i3
83,200.0,133.0,67.0,0.665,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_083.i3
84,63.0,49.0,14.0,0.7777777777777778,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_084.i3
85,200.0,143.0,57.0,0.715,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_085.i3
86,200.0,134.0,66.0,0.67,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_086.i3
87,200.0,134.0,66.0,0.67,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_087.i3
88,200.0,152.0,48.0,0.76,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_088.i3
89,96.0,63.0,33.0,0.65625,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_089.i3
90,200.0,139.0,61.0,0.695,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_090.i3
91,200.0,126.0,74.0,0.63,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_091.i3
92,,,,,FAIL,RuntimeError: input stream error,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_092.i3
93,200.0,145.0,55.0,0.725,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_093.i3
94,200.0,140.0,60.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_094.i3
96,200.0,137.0,63.0,0.685,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_096.i3
98,200.0,137.0,63.0,0.685,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_098.i3
99,200.0,145.0,55.0,0.725,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_099.i3
100,200.0,147.0,53.0,0.735,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_100.i3
1000,200.0,140.0,60.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1000.i3
1001,200.0,141.0,59.0,0.705,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1001.i3
1002,200.0,140.0,60.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1002.i3
1003,200.0,147.0,53.0,0.735,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1003.i3
1004,200.0,139.0,61.0,0.695,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1004.i3
1005,200.0,153.0,47.0,0.765,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1005.i3
1006,200.0,146.0,54.0,0.73,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1006.i3
1007,200.0,146.0,54.0,0.73,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1007.i3
1008,200.0,135.0,65.0,0.675,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1008.i3
1009,200.0,133.0,67.0,0.665,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1009.i3
101,200.0,145.0,55.0,0.725,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_101.i3
1010,200.0,141.0,59.0,0.705,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1010.i3
1011,200.0,143.0,57.0,0.715,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1011.i3
1012,200.0,150.0,50.0,0.75,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1012.i3
1013,200.0,138.0,62.0,0.69,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1013.i3
1014,200.0,142.0,58.0,0.71,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1014.i3
1015,200.0,142.0,58.0,0.71,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1015.i3
1016,200.0,132.0,68.0,0.66,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1016.i3
1017,200.0,137.0,63.0,0.685,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1017.i3
1018,200.0,144.0,56.0,0.72,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1018.i3
1019,200.0,143.0,57.0,0.715,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1019.i3
102,200.0,121.0,79.0,0.605,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_102.i3
1020,200.0,141.0,59.0,0.705,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1020.i3
1021,200.0,139.0,61.0,0.695,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1021.i3
1022,200.0,137.0,63.0,0.685,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1022.i3
1023,,,,,FAIL,RuntimeError: input stream error,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1023.i3
1024,200.0,146.0,54.0,0.73,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1024.i3
1025,200.0,128.0,72.0,0.64,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1025.i3
1026,200.0,138.0,62.0,0.69,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1026.i3
1027,200.0,138.0,62.0,0.69,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1027.i3
1028,200.0,139.0,61.0,0.695,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1028.i3
1029,200.0,134.0,66.0,0.67,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1029.i3
103,200.0,140.0,60.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_103.i3
1030,200.0,134.0,66.0,0.67,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1030.i3
1031,200.0,128.0,72.0,0.64,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1031.i3
1032,200.0,138.0,62.0,0.69,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1032.i3
1033,200.0,125.0,75.0,0.625,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1033.i3
1034,200.0,143.0,57.0,0.715,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1034.i3
1035,200.0,140.0,60.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1035.i3
1036,,,,,FAIL,RuntimeError: input stream error,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1036.i3
1037,200.0,135.0,65.0,0.675,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1037.i3
1038,200.0,146.0,54.0,0.73,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1038.i3
1039,200.0,137.0,63.0,0.685,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1039.i3
104,200.0,140.0,60.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_104.i3
1040,200.0,132.0,68.0,0.66,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1040.i3
1041,200.0,140.0,60.0,0.7,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1041.i3
1042,200.0,144.0,56.0,0.72,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1042.i3
1043,200.0,143.0,57.0,0.715,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1043.i3
1044,200.0,137.0,63.0,0.685,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1044.i3
1045,200.0,135.0,65.0,0.675,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1045.i3
1046,200.0,144.0,56.0,0.72,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1046.i3
1047,200.0,136.0,64.0,0.68,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1047.i3
1048,200.0,142.0,58.0,0.71,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1048.i3
1049,200.0,136.0,64.0,0.68,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1049.i3
105,200.0,142.0,58.0,0.71,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_105.i3
1050,200.0,139.0,61.0,0.695,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1050.i3
1051,200.0,130.0,70.0,0.65,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1051.i3
1052,200.0,129.0,71.0,0.645,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1052.i3
1053,200.0,145.0,55.0,0.725,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1053.i3
1054,200.0,133.0,67.0,0.665,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1054.i3
1055,200.0,137.0,63.0,0.685,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1055.i3
1056,200.0,138.0,62.0,0.69,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1056.i3
1057,200.0,138.0,62.0,0.69,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1057.i3
1058,200.0,144.0,56.0,0.72,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_1058.i3
