feature,p25,p50,p75
charge,0.8709021806716919,1.1228311061859131,1.5550991296768188
dom_time,147.9622511125886604,246.4538832056538524,393.1287344119820091
dom_x,-320.0000000000000000,0.0000000000000000,320.0000000000000000
dom_y,-315.0257738807146097,31.3843876330608111,308.5125168440811194
dom_z,-200.0000000000000000,50.0000000000000000,300.0000000000000000
string_number,87.0000000000000000,171.0000000000000000,256.0000000000000000
pmt_number,5.0000000000000000,9.0000000000000000,13.0000000000000000
dom_number,6.0000000000000000,11.0000000000000000,16.0000000000000000
pmt_x,-320.1013608428770567,-0.1013608428770663,319.8986391571229433
pmt_y,-315.0257738807146097,31.2495837725008592,308.5125168440811194
pmt_z,-200.0000000000000000,50.0000000000000000,299.8855904308520621
