feature,p25,p50,p75
charge,0.8020458817481995,1.0023804903030396,1.2038501501083374
dom_time,2430.7863581603237435,3245.2724638266336115,4376.8013550369605582
dom_x,-320.0000000000000000,0.0000000000000000,320.0000000000000000
dom_y,-315.0257738807146097,-37.8976446696942730,308.5125168440811194
dom_z,-200.0000000000000000,50.0000000000000000,300.0000000000000000
string_number,84.0000000000000000,170.0000000000000000,255.0000000000000000
pmt_number,4.0000000000000000,8.0000000000000000,12.0000000000000000
dom_number,6.0000000000000000,11.0000000000000000,16.0000000000000000
pmt_x,-319.8839970145579059,0.0000000000000000,320.0000000000000000
pmt_y,-315.1170171634244070,-37.7155564565432684,308.6037601267909167
pmt_z,-200.1160029854420657,49.8839970145579201,299.8616391071141720
