feature,p25,p50,p75
charge,0.8019641637802124,1.0024421215057373,1.2040232419967651
dom_time,2050.0622321843038662,2158.3698293753404869,2317.3344647174544662
dom_x,-440.0000000000000000,-80.0000000000000000,200.0000000000000000
dom_y,-245.7437415779595256,-37.8976446696942730,169.9484522385709795
dom_z,-200.0000000000000000,50.0000000000000000,300.0000000000000000
string_number,96.0000000000000000,165.0000000000000000,218.0000000000000000
pmt_number,4.0000000000000000,8.0000000000000000,12.0000000000000000
dom_number,6.0000000000000000,11.0000000000000000,16.0000000000000000
pmt_x,-439.8616391071141720,-80.1383608928858422,199.8616391071141436
pmt_y,-245.9258297911105160,-37.7155564565432684,169.8572089558611538
pmt_z,-200.0000000000000000,50.0000000000000000,299.8839970145579059
